,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,lat,long,name
466850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0712,121.7812,466850
466880,76.0,82.0,74.0,77.0,76.0,80.0,72.0,72.0,73.0,76.0,74.0,72.0,81.0,78.0,75.0,71.0,78.0,74.0,72.0,70.0,67.0,72.0,78.0,79.0,81.0,80.0,74.0,74.0,71.0,77.0,67.0,73.0,69.0,66.0,74.0,75.0,73.0,76.0,71.0,76.0,74.0,71.0,69.0,70.0,67.0,68.0,68.0,73.0,63.0,75.0,72.0,74.0,80.0,78.0,72.0,74.0,69.0,68.0,72.0,69.0,67.0,72.0,77.0,74.0,76.0,71.0,70.0,73.0,70.0,70.0,71.0,71.0,79.0,77.0,77.0,75.0,71.0,71.0,67.0,68.0,74.0,72.0,72.0,72.0,73.0,68.0,72.0,69.0,75.0,79.0,72.0,69.0,72.0,74.0,78.0,75.0,24.9976,121.44200000000001,466880
466900,81.0,86.0,77.0,80.0,79.0,85.0,72.0,74.0,77.0,82.0,80.0,74.0,84.0,81.0,76.0,76.0,86.0,80.0,77.0,75.0,74.0,79.0,81.0,84.0,90.0,88.0,81.0,81.0,80.0,82.0,72.0,79.0,73.0,77.0,83.0,84.0,85.0,87.0,80.0,81.0,80.0,76.0,71.0,75.0,72.0,74.0,73.0,78.0,70.0,83.0,76.0,77.0,86.0,83.0,75.0,75.0,73.0,72.0,77.0,73.0,72.0,77.0,82.0,77.0,81.0,76.0,72.0,76.0,74.0,73.0,74.0,75.0,81.0,79.0,82.0,84.0,79.0,75.0,73.0,71.0,78.0,77.0,76.0,72.0,76.0,74.0,79.0,73.0,75.0,83.0,75.0,71.0,74.0,80.0,86.0,74.0,25.1649,121.4489,466900
466910,91.0,90.0,88.0,92.0,90.0,92.0,88.0,91.0,92.0,97.0,94.0,83.0,98.0,91.0,92.0,81.0,93.0,88.0,88.0,88.0,87.0,92.0,93.0,96.0,96.0,94.0,88.0,89.0,85.0,91.0,84.0,88.0,86.0,86.0,91.0,94.0,92.0,94.0,89.0,90.0,90.0,87.0,85.0,83.0,90.0,92.0,90.0,95.0,83.0,90.0,89.0,87.0,88.0,87.0,86.0,86.0,84.0,85.0,88.0,89.0,87.0,91.0,92.0,85.0,90.0,89.0,88.0,93.0,89.0,94.0,95.0,97.0,98.0,90.0,90.0,91.0,93.0,90.0,87.0,85.0,92.0,94.0,92.0,92.0,94.0,91.0,91.0,85.0,90.0,90.0,85.0,84.0,86.0,94.0,96.0,95.0,25.1826,121.5297,466910
466920,78.0,84.0,72.0,78.0,75.0,82.0,69.0,72.0,72.0,79.0,75.0,70.0,83.0,78.0,74.0,68.0,78.0,74.0,73.0,73.0,71.0,77.0,79.0,83.0,86.0,86.0,78.0,76.0,71.0,73.0,65.0,75.0,70.0,67.0,74.0,77.0,75.0,75.0,69.0,74.0,72.0,69.0,68.0,68.0,67.0,68.0,68.0,71.0,62.0,71.0,72.0,77.0,81.0,76.0,68.0,68.0,71.0,71.0,75.0,70.0,67.0,72.0,80.0,75.0,78.0,73.0,72.0,76.0,74.0,78.0,79.0,79.0,84.0,80.0,75.0,76.0,71.0,72.0,70.0,67.0,76.0,75.0,74.0,71.0,74.0,69.0,75.0,66.0,73.0,75.0,64.0,64.0,65.0,73.0,77.0,74.0,25.0377,121.5149,466920
466930,82.0,85.0,81.0,82.0,82.0,89.0,83.0,82.0,84.0,87.0,87.0,77.0,93.0,88.0,88.0,81.0,90.0,86.0,85.0,83.0,81.0,88.0,91.0,92.0,94.0,94.0,87.0,85.0,83.0,89.0,80.0,84.0,82.0,82.0,88.0,89.0,88.0,91.0,86.0,88.0,87.0,84.0,82.0,83.0,84.0,86.0,84.0,87.0,76.0,86.0,84.0,83.0,88.0,87.0,82.0,83.0,80.0,80.0,83.0,82.0,81.0,85.0,87.0,80.0,84.0,80.0,79.0,85.0,81.0,85.0,86.0,88.0,92.0,84.0,85.0,88.0,86.0,85.0,83.0,80.0,88.0,88.0,87.0,86.0,88.0,84.0,85.0,80.0,84.0,85.0,81.0,79.0,80.0,86.0,88.0,85.0,25.1621,121.5445,466930
466940,81.0,88.0,78.0,80.0,79.0,83.0,71.0,75.0,75.0,79.0,76.0,69.0,79.0,79.0,74.0,71.0,82.0,75.0,73.0,73.0,76.0,79.0,83.0,83.0,85.0,87.0,81.0,77.0,79.0,81.0,73.0,77.0,71.0,69.0,75.0,78.0,80.0,86.0,79.0,78.0,80.0,77.0,68.0,72.0,78.0,74.0,77.0,79.0,70.0,81.0,75.0,79.0,86.0,83.0,72.0,72.0,74.0,70.0,76.0,71.0,72.0,78.0,83.0,76.0,78.0,76.0,71.0,77.0,75.0,76.0,80.0,76.0,80.0,76.0,79.0,84.0,83.0,79.0,75.0,74.0,80.0,82.0,79.0,76.0,80.0,75.0,80.0,73.0,77.0,78.0,66.0,68.0,69.0,73.0,81.0,73.0,25.1333,121.7405,466940
466950,79.0,85.0,79.0,81.0,82.0,89.0,86.0,85.0,84.0,79.0,72.0,71.0,80.0,78.0,75.0,78.0,88.0,89.0,85.0,83.0,81.0,77.0,82.0,77.0,80.0,83.0,79.0,81.0,83.0,90.0,87.0,89.0,81.0,71.0,78.0,81.0,80.0,88.0,82.0,81.0,89.0,91.0,89.0,88.0,84.0,76.0,77.0,74.0,68.0,84.0,81.0,83.0,90.0,89.0,86.0,84.0,85.0,72.0,76.0,70.0,70.0,75.0,83.0,82.0,86.0,87.0,85.0,85.0,80.0,78.0,81.0,75.0,78.0,73.0,77.0,88.0,87.0,87.0,84.0,79.0,83.0,85.0,78.0,74.0,76.0,73.0,76.0,78.0,85.0,89.0,85.0,85.0,81.0,78.0,82.0,71.0,25.628,122.0797,466950
466990,75.0,77.0,72.0,72.0,75.0,79.0,73.0,73.0,76.0,74.0,71.0,66.0,71.0,73.0,74.0,71.0,79.0,76.0,77.0,73.0,73.0,76.0,78.0,74.0,77.0,78.0,76.0,77.0,78.0,81.0,74.0,76.0,71.0,71.0,79.0,78.0,72.0,75.0,71.0,80.0,84.0,77.0,75.0,76.0,74.0,72.0,77.0,73.0,65.0,79.0,77.0,80.0,85.0,82.0,77.0,78.0,78.0,71.0,77.0,74.0,72.0,79.0,81.0,82.0,85.0,80.0,76.0,84.0,80.0,79.0,83.0,79.0,84.0,76.0,80.0,83.0,82.0,83.0,81.0,81.0,81.0,81.0,75.0,72.0,75.0,72.0,79.0,77.0,80.0,80.0,74.0,74.0,77.0,75.0,78.0,73.0,23.9751,121.6133,466990
467060,82.0,84.0,76.0,81.0,79.0,83.0,77.0,78.0,77.0,82.0,82.0,73.0,81.0,79.0,79.0,74.0,83.0,78.0,77.0,73.0,76.0,84.0,86.0,85.0,84.0,86.0,79.0,79.0,82.0,84.0,78.0,80.0,76.0,72.0,84.0,85.0,85.0,86.0,79.0,81.0,84.0,80.0,73.0,77.0,79.0,74.0,80.0,81.0,71.0,80.0,78.0,81.0,86.0,82.0,75.0,76.0,78.0,74.0,81.0,75.0,74.0,81.0,84.0,81.0,84.0,79.0,75.0,81.0,77.0,79.0,83.0,81.0,82.0,77.0,79.0,83.0,82.0,79.0,77.0,75.0,82.0,83.0,82.0,81.0,81.0,76.0,78.0,75.0,83.0,84.0,74.0,77.0,77.0,77.0,88.0,84.0,24.5967,121.8574,467060
467080,78.0,80.0,74.0,78.0,79.0,82.0,76.0,77.0,76.0,82.0,83.0,73.0,84.0,80.0,79.0,73.0,79.0,80.0,77.0,75.0,76.0,82.0,84.0,84.0,83.0,83.0,76.0,77.0,82.0,81.0,80.0,81.0,79.0,76.0,86.0,86.0,84.0,85.0,78.0,84.0,87.0,83.0,76.0,80.0,81.0,77.0,83.0,83.0,72.0,82.0,80.0,82.0,89.0,85.0,78.0,78.0,79.0,77.0,84.0,77.0,75.0,80.0,83.0,80.0,84.0,80.0,78.0,83.0,79.0,82.0,83.0,81.0,82.0,77.0,78.0,82.0,82.0,82.0,79.0,77.0,83.0,85.0,82.0,81.0,83.0,77.0,79.0,77.0,85.0,87.0,77.0,78.0,78.0,79.0,86.0,82.0,24.764,121.7565,467080
467110,75.0,84.0,77.0,80.0,83.0,88.0,85.0,78.0,81.0,68.0,70.0,73.0,70.0,77.0,66.0,76.0,88.0,89.0,91.0,86.0,79.0,69.0,78.0,67.0,82.0,83.0,80.0,86.0,86.0,88.0,83.0,80.0,74.0,66.0,76.0,77.0,72.0,79.0,78.0,85.0,88.0,91.0,87.0,87.0,72.0,62.0,67.0,65.0,65.0,79.0,76.0,78.0,87.0,86.0,81.0,82.0,75.0,63.0,67.0,61.0,65.0,69.0,74.0,74.0,83.0,86.0,78.0,74.0,72.0,67.0,70.0,70.0,76.0,70.0,75.0,82.0,84.0,85.0,82.0,84.0,77.0,80.0,78.0,69.0,69.0,68.0,75.0,75.0,79.0,87.0,78.0,80.0,75.0,61.0,68.0,59.0,24.4073,118.2893,467110
467300,76.0,82.0,77.0,79.0,82.0,85.0,82.0,81.0,82.0,78.0,73.0,69.0,78.0,79.0,73.0,75.0,81.0,83.0,82.0,79.0,81.0,81.0,84.0,78.0,84.0,85.0,81.0,81.0,83.0,86.0,82.0,85.0,76.0,71.0,74.0,75.0,76.0,80.0,74.0,80.0,85.0,85.0,79.0,82.0,79.0,72.0,72.0,70.0,69.0,75.0,76.0,76.0,83.0,83.0,80.0,81.0,80.0,71.0,74.0,72.0,72.0,76.0,79.0,77.0,82.0,81.0,80.0,82.0,80.0,78.0,79.0,77.0,80.0,76.0,78.0,84.0,83.0,85.0,82.0,84.0,84.0,84.0,77.0,76.0,77.0,75.0,74.0,74.0,79.0,85.0,81.0,81.0,80.0,76.0,78.0,74.0,23.256999999999998,119.6675,467300
467350,75.0,83.0,77.0,82.0,85.0,87.0,84.0,82.0,83.0,77.0,76.0,70.0,79.0,82.0,74.0,76.0,81.0,83.0,84.0,80.0,79.0,75.0,82.0,76.0,82.0,84.0,79.0,80.0,85.0,86.0,80.0,84.0,74.0,68.0,74.0,77.0,79.0,82.0,76.0,80.0,83.0,83.0,78.0,85.0,79.0,70.0,72.0,73.0,72.0,79.0,80.0,79.0,88.0,86.0,82.0,83.0,78.0,70.0,75.0,71.0,73.0,76.0,79.0,76.0,82.0,83.0,84.0,86.0,79.0,76.0,77.0,75.0,80.0,74.0,78.0,84.0,83.0,83.0,82.0,82.0,81.0,81.0,76.0,75.0,77.0,75.0,73.0,74.0,79.0,85.0,79.0,82.0,79.0,74.0,79.0,75.0,23.5655,119.5631,467350
467410,70.0,74.0,66.0,70.0,71.0,75.0,72.0,71.0,74.0,72.0,73.0,66.0,74.0,73.0,68.0,66.0,72.0,72.0,76.0,72.0,70.0,72.0,79.0,75.0,79.0,80.0,73.0,74.0,79.0,84.0,79.0,84.0,68.0,69.0,74.0,72.0,73.0,73.0,71.0,76.0,79.0,75.0,73.0,79.0,74.0,69.0,71.0,72.0,68.0,75.0,71.0,73.0,79.0,80.0,77.0,80.0,77.0,69.0,73.0,71.0,70.0,73.0,75.0,73.0,80.0,74.0,79.0,81.0,76.0,77.0,75.0,75.0,83.0,74.0,78.0,77.0,76.0,79.0,75.0,77.0,81.0,79.0,74.0,74.0,74.0,71.0,70.0,71.0,73.0,79.0,76.0,74.0,69.0,70.0,73.0,72.0,22.9932,120.2048,467410
467420,71.0,75.0,66.0,70.0,69.0,72.0,71.0,71.0,75.0,71.0,73.0,67.0,73.0,73.0,68.0,66.0,73.0,71.0,75.0,72.0,71.0,73.0,78.0,74.0,78.0,78.0,73.0,72.0,74.0,82.0,77.0,82.0,71.0,69.0,74.0,76.0,75.0,75.0,70.0,76.0,77.0,74.0,72.0,78.0,74.0,69.0,71.0,70.0,67.0,73.0,70.0,71.0,76.0,76.0,73.0,79.0,79.0,70.0,74.0,72.0,70.0,72.0,73.0,71.0,76.0,71.0,78.0,80.0,76.0,78.0,76.0,75.0,83.0,75.0,79.0,77.0,76.0,78.0,76.0,79.0,81.0,81.0,77.0,77.0,77.0,73.0,72.0,72.0,74.0,78.0,78.0,78.0,75.0,74.0,78.0,74.0,23.0384,120.2367,467420
467440,72.0,74.0,69.0,74.0,75.0,79.0,76.0,78.0,80.0,76.0,74.0,67.0,72.0,72.0,68.0,69.0,75.0,76.0,80.0,76.0,75.0,77.0,79.0,76.0,75.0,76.0,71.0,77.0,79.0,83.0,77.0,83.0,73.0,69.0,75.0,74.0,71.0,73.0,71.0,76.0,82.0,77.0,75.0,81.0,77.0,69.0,71.0,67.0,64.0,70.0,72.0,74.0,78.0,81.0,78.0,79.0,78.0,70.0,72.0,68.0,66.0,69.0,72.0,70.0,77.0,75.0,78.0,80.0,76.0,76.0,74.0,71.0,76.0,70.0,74.0,77.0,76.0,79.0,77.0,79.0,81.0,79.0,72.0,71.0,70.0,67.0,69.0,71.0,74.0,77.0,71.0,75.0,74.0,73.0,74.0,69.0,22.566,120.3157,467440
467480,75.0,77.0,73.0,78.0,77.0,80.0,79.0,81.0,84.0,82.0,83.0,76.0,80.0,81.0,77.0,74.0,80.0,76.0,77.0,76.0,78.0,81.0,84.0,78.0,80.0,80.0,82.0,80.0,78.0,83.0,74.0,81.0,74.0,72.0,80.0,81.0,80.0,80.0,78.0,82.0,80.0,74.0,76.0,82.0,80.0,77.0,78.0,78.0,74.0,80.0,78.0,79.0,81.0,77.0,73.0,80.0,79.0,74.0,77.0,77.0,75.0,77.0,79.0,76.0,81.0,72.0,75.0,80.0,83.0,85.0,80.0,76.0,82.0,76.0,86.0,84.0,80.0,80.0,77.0,81.0,82.0,80.0,78.0,75.0,74.0,72.0,76.0,75.0,77.0,78.0,80.0,76.0,76.0,74.0,78.0,78.0,23.4959,120.4329,467480
467490,75.0,80.0,72.0,78.0,75.0,78.0,74.0,77.0,77.0,72.0,71.0,67.0,74.0,74.0,69.0,64.0,74.0,71.0,73.0,72.0,70.0,70.0,78.0,72.0,75.0,75.0,75.0,75.0,74.0,79.0,73.0,77.0,69.0,64.0,71.0,73.0,74.0,74.0,72.0,79.0,75.0,72.0,74.0,77.0,73.0,65.0,68.0,70.0,66.0,74.0,72.0,69.0,78.0,74.0,71.0,76.0,74.0,65.0,72.0,71.0,68.0,71.0,74.0,68.0,77.0,71.0,71.0,76.0,72.0,72.0,71.0,73.0,79.0,72.0,76.0,77.0,75.0,77.0,73.0,77.0,77.0,77.0,75.0,74.0,75.0,71.0,73.0,73.0,75.0,81.0,78.0,77.0,74.0,72.0,79.0,76.0,24.1457,120.6841,467490
467530,82.0,79.0,74.0,86.0,89.0,93.0,91.0,90.0,88.0,88.0,85.0,76.0,91.0,85.0,88.0,81.0,89.0,84.0,90.0,88.0,91.0,91.0,87.0,89.0,83.0,89.0,79.0,91.0,91.0,93.0,90.0,95.0,92.0,78.0,88.0,85.0,82.0,80.0,77.0,91.0,94.0,86.0,90.0,92.0,90.0,83.0,80.0,83.0,71.0,84.0,82.0,85.0,94.0,89.0,88.0,92.0,89.0,81.0,79.0,79.0,68.0,78.0,82.0,75.0,85.0,81.0,90.0,90.0,87.0,81.0,78.0,74.0,81.0,79.0,80.0,76.0,82.0,83.0,87.0,90.0,90.0,83.0,79.0,79.0,74.0,84.0,82.0,80.0,92.0,89.0,93.0,91.0,89.0,82.0,84.0,78.0,23.5082,120.8132,467530
467540,70.0,74.0,71.0,73.0,78.0,75.0,75.0,77.0,82.0,76.0,69.0,68.0,68.0,71.0,70.0,70.0,80.0,78.0,80.0,76.0,76.0,77.0,78.0,72.0,74.0,76.0,74.0,77.0,81.0,86.0,77.0,77.0,74.0,68.0,72.0,71.0,67.0,74.0,70.0,75.0,80.0,75.0,76.0,78.0,74.0,69.0,72.0,69.0,64.0,74.0,74.0,76.0,76.0,77.0,75.0,75.0,78.0,69.0,70.0,66.0,66.0,71.0,74.0,74.0,77.0,73.0,74.0,76.0,74.0,71.0,72.0,68.0,74.0,70.0,75.0,76.0,75.0,76.0,75.0,78.0,79.0,79.0,72.0,66.0,67.0,67.0,73.0,73.0,77.0,74.0,77.0,74.0,78.0,72.0,73.0,65.0,22.3557,120.9038,467540
467550,63.0,79.0,66.0,81.0,81.0,84.0,74.0,79.0,82.0,73.0,68.0,56.0,78.0,71.0,77.0,68.0,84.0,73.0,76.0,75.0,68.0,75.0,71.0,72.0,76.0,85.0,74.0,92.0,84.0,88.0,77.0,85.0,72.0,50.0,78.0,76.0,60.0,56.0,67.0,88.0,88.0,81.0,78.0,85.0,75.0,55.0,75.0,71.0,35.0,81.0,86.0,77.0,94.0,83.0,69.0,76.0,75.0,49.0,70.0,73.0,54.0,80.0,81.0,74.0,83.0,64.0,80.0,82.0,73.0,72.0,64.0,69.0,83.0,79.0,82.0,78.0,76.0,74.0,71.0,74.0,82.0,75.0,74.0,70.0,58.0,66.0,87.0,79.0,84.0,83.0,77.0,75.0,70.0,59.0,84.0,54.0,23.4876,120.9595,467550
467571,77.0,84.0,75.0,78.0,77.0,78.0,73.0,72.0,76.0,78.0,76.0,74.0,86.0,86.0,82.0,76.0,84.0,76.0,77.0,75.0,73.0,78.0,81.0,82.0,87.0,91.0,81.0,78.0,79.0,84.0,75.0,80.0,76.0,70.0,79.0,82.0,82.0,82.0,77.0,81.0,78.0,74.0,73.0,75.0,71.0,68.0,71.0,74.0,69.0,80.0,76.0,75.0,80.0,78.0,73.0,74.0,72.0,70.0,76.0,74.0,71.0,78.0,83.0,78.0,81.0,75.0,74.0,75.0,74.0,75.0,77.0,79.0,83.0,79.0,80.0,79.0,76.0,76.0,72.0,77.0,78.0,79.0,78.0,75.0,79.0,75.0,77.0,72.0,75.0,78.0,72.0,70.0,70.0,71.0,81.0,74.0,24.8279,121.0142,467571
467590,68.0,76.0,72.0,71.0,75.0,84.0,82.0,81.0,83.0,76.0,69.0,69.0,70.0,73.0,71.0,72.0,81.0,83.0,81.0,81.0,77.0,74.0,76.0,72.0,74.0,78.0,75.0,78.0,78.0,84.0,81.0,86.0,76.0,69.0,74.0,73.0,70.0,73.0,70.0,74.0,81.0,78.0,77.0,80.0,73.0,68.0,73.0,69.0,64.0,74.0,73.0,73.0,75.0,80.0,80.0,84.0,74.0,63.0,68.0,62.0,62.0,68.0,68.0,72.0,76.0,73.0,76.0,77.0,74.0,72.0,73.0,71.0,76.0,70.0,72.0,78.0,78.0,84.0,80.0,82.0,81.0,78.0,70.0,66.0,69.0,67.0,70.0,71.0,72.0,75.0,77.0,78.0,77.0,71.0,69.0,65.0,22.0039,120.7463,467590
